ROW,GMT_TESTTIMESTAMP,COMPONENT_ID,WAFER_ID_XY,PSRO,CWP0_VDDN,CRP0_VDDN,HOME_DIRECTORY,MACHINE_FAMILY,SERIAL,LEVEL,TEST,TEST_PROGRAM,TEST_SUFFIX,PCX_LEVEL,FIRMWARE,BUP_TOOL_VERSION,FN,
"1,2018-04-26 00:27:34.0,""11S02CY382YH3934457215"",""6A05F107SOC3/91/33"",8.185,1.107,1.107,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/04/25/zMcharM60.SYSHEDD220180424.216220215017214217219706999076064.20180425202734.zip.gz"",""zMidas"",""D87F7"",""LAB"",""FRM"",""NO_BATCHLIST"",""LAB"","""",""D32L_MFG2_RC7_DEBUG"","""",""XTEDS~3906~M02~D87F7~20180425202734~LAB_LAB.xml.gz"","
"1,2018-04-26 00:27:34.0,""11S02CY382YH3934457216"",""6A05F107SOC3/49/44"",8.142,1.101,1.101,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/04/25/zMcharM60.SYSHEDD220180424.216220215017214217219706999076064.20180425202734.zip.gz"",""zMidas"",""D87F7"",""LAB"",""FRM"",""NO_BATCHLIST"",""LAB"","""",""D32L_MFG2_RC7_DEBUG"","""",""XTEDS~3906~M02~D87F7~20180425202734~LAB_LAB.xml.gz"","
"1,2018-04-24 23:58:59.0,""11S02CY382YH3934457218"",""6A05F108SOG5/63/66"",8.382,1.13,1.13,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/04/24/zMcharM60.SYSHEDD220180424.690213221017367223526192051052999224218763.20180424195859.zip.gz"",""zMidas"",""D87F7"",""LAB"",""FRM"",""NO_BATCHLIST"",""LAB"","""",""D32L_MFG2_RC7_DEBUG"","""",""XTEDS~3906~M02~D87F7~20180424195859~LAB_LAB.xml.gz"","
"1,2018-04-26 00:27:34.0,""11S02CY382YH3934457220"",""6A05F107SOC3/35/44"",8.053,1.07,1.07,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/04/25/zMcharM60.SYSHEDD220180424.216220215017214217219706999076064.20180425202734.zip.gz"",""zMidas"",""D87F7"",""LAB"",""FRM"",""NO_BATCHLIST"",""LAB"","""",""D32L_MFG2_RC7_DEBUG"","""",""XTEDS~3906~M02~D87F7~20180425202734~LAB_LAB.xml.gz"","
"1,2018-04-24 23:58:59.0,""11S02CY382YH3934457221"",""6A05F107SOC3/35/33"",8.02,1.099,1.099,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/04/24/zMcharM60.SYSHEDD220180424.690213221017367223526192051052999224218763.20180424195859.zip.gz"",""zMidas"",""D87F7"",""LAB"",""FRM"",""NO_BATCHLIST"",""LAB"","""",""D32L_MFG2_RC7_DEBUG"","""",""XTEDS~3906~M02~D87F7~20180424195859~LAB_LAB.xml.gz"","
"1,2018-04-24 23:59:40.0,""11S02CY382YH3934457222"",""6A05F107SOC3/119/55"",8.291,1.091,1.091,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/04/24/zMcharM08.SYSHEDD220180412.249246238246222225248661660662944247239236.20180424195940.zip.gz"",""zMidas"",""6D437"",""LAB"",""FRM"",""NO_BATCHLIST"",""LAB"","""",""D32L_MFG2_RC9_DEBUG"","""",""XTEDS~3906~M02~6D437~20180424195940~LAB_LAB.xml.gz"","
"1,2018-04-24 23:58:59.0,""11S02CY382YH3934457223"",""6A05F108SOG5/119/33"",8.188,1.101,1.101,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/04/24/zMcharM60.SYSHEDD220180424.690213221017367223526192051052999224218763.20180424195859.zip.gz"",""zMidas"",""D87F7"",""LAB"",""FRM"",""NO_BATCHLIST"",""LAB"","""",""D32L_MFG2_RC7_DEBUG"","""",""XTEDS~3906~M02~D87F7~20180424195859~LAB_LAB.xml.gz"","
"1,2018-04-24 23:58:59.0,""11S02CY382YH3934457224"",""6A05F108SOG5/91/77"",8.417,1.113,1.113,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/04/24/zMcharM60.SYSHEDD220180424.690213221017367223526192051052999224218763.20180424195859.zip.gz"",""zMidas"",""D87F7"",""LAB"",""FRM"",""NO_BATCHLIST"",""LAB"","""",""D32L_MFG2_RC7_DEBUG"","""",""XTEDS~3906~M02~D87F7~20180424195859~LAB_LAB.xml.gz"","
"1,2018-04-28 09:18:49.0,""11S02CY382YH3934461429"",""6A05F119SOA5/91/55"",8.423,1.138,1.138,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/04/28/zMcharM08.SYSHEDD220180412.614615735246387168076429866944064441163.20180428051849.zip.gz"",""zMidas"",""6D437"",""LAB"",""FRM"",""NO_BATCHLIST"",""LAB"","""",""D32L_MFG2_RC9_DEBUG"","""",""XTEDS~3906~M02~6D437~20180428051849~LAB_LAB.xml.gz"","
"1,2018-04-26 00:26:09.0,""11S02CY382YH3934461430"",""6A05F119SOA5/49/77"",8.513,1.14,1.14,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/04/25/zMcharM08.SYSHEDD220180412.707684073246075685074408659944430.20180425202609.zip.gz"",""zMidas"",""6D437"",""LAB"",""FRM"",""NO_BATCHLIST"",""LAB"","""",""D32L_MFG2_RC9_DEBUG"","""",""XTEDS~3906~M02~6D437~20180425202609~LAB_LAB.xml.gz"","
"1,2018-04-29 00:30:17.0,""11S02CY382YH3934466382"",""6A05E389SOA4/105/77"",8.423,1.146,1.146,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/04/28/zMcharM08.SYSHEDD220180412.383384246382788790944450548547.20180428203017.zip.gz"",""zMidas"",""6D437"",""LAB"",""FRM"",""NO_BATCHLIST"",""LAB"","""",""D32L_MFG2_RC9_DEBUG"","""",""XTEDS~3906~M02~6D437~20180428203017~LAB_LAB.xml.gz"","
"1,2018-04-29 00:30:17.0,""11S02CY382YH3934466383"",""6A05E389SOA4/77/66"",8.568,1.144,1.144,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/04/28/zMcharM08.SYSHEDD220180412.383384246382788790944450548547.20180428203017.zip.gz"",""zMidas"",""6D437"",""LAB"",""FRM"",""NO_BATCHLIST"",""LAB"","""",""D32L_MFG2_RC9_DEBUG"","""",""XTEDS~3906~M02~6D437~20180428203017~LAB_LAB.xml.gz"","
"1,2018-04-29 00:30:17.0,""11S02CY382YH3934466384"",""6A05E389SOA4/63/66"",8.585,1.169,1.169,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/04/28/zMcharM08.SYSHEDD220180412.383384246382788790944450548547.20180428203017.zip.gz"",""zMidas"",""6D437"",""LAB"",""FRM"",""NO_BATCHLIST"",""LAB"","""",""D32L_MFG2_RC9_DEBUG"","""",""XTEDS~3906~M02~6D437~20180428203017~LAB_LAB.xml.gz"","
"1,2018-04-29 00:30:17.0,""11S02CY382YH3934466788"",""6A05E389SOA4/77/77"",8.541,1.144,1.144,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/04/28/zMcharM08.SYSHEDD220180412.383384246382788790944450548547.20180428203017.zip.gz"",""zMidas"",""6D437"",""LAB"",""FRM"",""NO_BATCHLIST"",""LAB"","""",""D32L_MFG2_RC9_DEBUG"","""",""XTEDS~3906~M02~6D437~20180428203017~LAB_LAB.xml.gz"","
"1,2018-04-29 00:30:17.0,""11S02CY382YH3934466790"",""6A05E389SOA4/119/66"",8.206,1.109,1.109,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/04/28/zMcharM08.SYSHEDD220180412.383384246382788790944450548547.20180428203017.zip.gz"",""zMidas"",""6D437"",""LAB"",""FRM"",""NO_BATCHLIST"",""LAB"","""",""D32L_MFG2_RC9_DEBUG"","""",""XTEDS~3906~M02~6D437~20180428203017~LAB_LAB.xml.gz"","
